liyi@liyi-Lenovo-IdeaPad-Y400:~/svn/dblpmining$ python hw1.py 1
[[u'Foster J. Provost', u'Brian Dalessandro'], 0.6410256410256411]
[[u'Ashkan Jafarpour', u'Ananda Theertha Suresh'], 0.6400000000000001]
[[u'Xingquan Zhu', u'Jia Wu'], 0.6328125]
[[u'Xia Hu', u'Huiji Gao'], 0.6313131313131314]
[[u'Kilian Q. Weinberger', u'Zhixiang Eddie Xu'], 0.6153846153846154]
[[u'Prateek Jain 0002', u'Purushottam Kar'], 0.6124999999999999]
[[u'Craig Macdonald', u'Nicola Tonellotto'], 0.6095238095238096]
[[u'Duc-Son Pham', u'Budhaditya Saha'], 0.6095238095238095]
[[u'Jianmin Wang 0001', u'Chaokun Wang'], 0.6000000000000001]
[[u'Bo Dai', u'Gang Niu'], 0.6]
[[u'Changming Sun', u'Xiao Tan'], 0.6]
[[u'Byron Choi', u'Haibo Hu'], 0.6]
[[u'Shaojun Wang', u'Shaodan Zhai'], 0.6]
[[u'Zhou Zhao', u'Da Yan'], 0.6]
[[u'Rong Jin', u'Mehrdad Mahdavi'], 0.5952380952380952]
[[u'Jason Lines', u'Jon Hills'], 0.5625]
[[u'Massih-Reza Amini', u'Rohit Babbar'], 0.5625]
[[u'Pradeep D. Ravikumar', u'Genevera I. Allen'], 0.5625]
[[u'Pradeep D. Ravikumar', u'Zhandong Liu'], 0.5625]
[[u'Yijun Sun', u'Li Wang'], 0.5625]
[[u'Matt J. Kusner', u'Zhixiang Eddie Xu'], 0.5625]
[[u'Wang-Chien Lee', u'Peifeng Yin'], 0.5541125541125541]
[[u'Alexander J. Smola', u'Amr Ahmed'], 0.5534303534303534]
[[u'Murat Kantarcioglu', u'Yan Zhou'], 0.5510204081632653]
[[u'Thomas Seidl 0001', u'Hardy Kremer'], 0.5482456140350876]
[[u'Latifur Khan', u'Mohammad M. Masud'], 0.5470085470085471]
[[u'Dinh Q. Phung', u'Santu Rana'], 0.5454545454545454]
[[u'Wei Ding 0003', u'Kui Yu'], 0.5417989417989417]
[[u'Liang Du', u'Xuan Li'], 0.5333333333333333]
[[u'Yi-Dong Shen', u'Xuan Li'], 0.5333333333333333]
[[u'Xiaogang Wang', u'Xiaoou Tang'], 0.529320987654321]
[[u'Chengqi Zhang', u'Jia Wu'], 0.5267489711934156]
[[u'Fei Sha', u'Boqing Gong'], 0.5192307692307692]
[[u'Raffaele Perego', u'Salvatore Orlando'], 0.5142857142857142]
[[u'Hui Xiong', u'Chuanren Liu'], 0.5121212121212121]
[[u'Bal\xe1zs Sz\xf6r\xe9nyi', u'R\xf3bert Busa-Fekete'], 0.5079365079365079]
[[u'Tuan D. Pham', u'Xiao Tan'], 0.5]
[[u'Russel Pears', u'Gillian Dobbie'], 0.5]
[[u'Wenlin Chen', u'Yi Mao'], 0.5]
[[u'Xiaoli Z. Fern', u'Forrest Briggs'], 0.5]
[[u'Manos Tsagkias', u'Wouter Weerkamp'], 0.49603174603174605]
[[u'Bo Liu', u'Zhifeng Hao'], 0.49603174603174605]
[[u'Aidong Zhang', u'Kang Li'], 0.49603174603174605]
[[u'Feiping Nie', u'Hua Wang'], 0.4876190476190477]
[[u'Thomas S. Huang', u'Guo-Jun Qi'], 0.48721590909090906]
[[u'Johannes Leveling', u'Debasis Ganguly'], 0.4821428571428571]
[[u'Partha Pratim Talukdar', u'Nicholas D. Sidiropoulos'], 0.4821428571428571]
[[u'Arthur Zimek', u'Peer Kr\xf6ger'], 0.4763888888888889]
[[u'Heng Huang', u'Hua Wang'], 0.4654545454545455]
[[u'Xiongcai Cai', u'Wayne Wobcke'], 0.44999999999999996]
[[u'Paul Compton', u'Wayne Wobcke'], 0.44999999999999996]
[[u'Xiongcai Cai', u'Michael Bain'], 0.44999999999999996]
[[u'Paul Compton', u'Michael Bain'], 0.44999999999999996]
[[u'Anthony Bagnall', u'Jon Hills'], 0.44999999999999996]
[[u'Xiongcai Cai', u'Alfred Krzywicki'], 0.44999999999999996]
[[u'Paul Compton', u'Alfred Krzywicki'], 0.44999999999999996]
[[u'Dat Tran', u'Trung Le'], 0.44999999999999996]
[[u'Xiongcai Cai', u'Yang Sok Kim'], 0.44999999999999996]
[[u'Paul Compton', u'Yang Sok Kim'], 0.44999999999999996]
[[u'Paul Compton', u'Ashesh Mahidadia'], 0.44999999999999996]
[[u'Xiongcai Cai', u'Ashesh Mahidadia'], 0.44999999999999996]
[[u'Meng Jiang', u'Wenwu Zhu 0001'], 0.44999999999999996]
[[u'Cho-Jui Hsieh', u'Si Si'], 0.4444444444444444]
[[u'Huan Liu', u'Xia Hu'], 0.43706293706293703]
[[u'Claudia Perlich', u'Troy Raeder'], 0.43402777777777785]
[[u'Aidong Zhang', u'Nan Du'], 0.42857142857142855]
[[u'Tian Xia', u'Shaodan Zhai'], 0.42857142857142855]
[[u'Xiaoyong Du', u'Jun He'], 0.42857142857142855]
[[u'Chenliang Li', u'Jianshu Weng'], 0.421875]
[[u'Andrew Y. Ng', u'Richard Socher'], 0.421875]
[[u'Ying Zhang', u'Wenjie Zhang'], 0.4157575757575758]
[[u'Christopher D. Manning', u'Richard Socher'], 0.4102564102564103]
[[u'Foster J. Provost', u'Troy Raeder'], 0.4006410256410256]
[[u'Fei Wang 0001', u'Wenwu Zhu 0001'], 0.3870967741935483]
[[u'Inderjit S. Dhillon', u'Si Si'], 0.3858024691358024]
[[u'Alex Beutel', u'Meng Jiang'], 0.3857142857142857]
[[u'Evangelos E. Papalexakis', u'Partha Pratim Talukdar'], 0.38095238095238093]
[[u'Stephan G\xfcnnemann', u'Ines F\xe4rber'], 0.3789473684210526]
[[u'Thomas Seidl 0001', u'Ines F\xe4rber'], 0.3789473684210526]
[[u'Shaogang Gong', u'Timothy M. Hospedales'], 0.375]
[[u'D\xf3ra Erd\xf6s', u'Azer Bestavros'], 0.375]
[[u'Wanli Ma', u'Trung Le'], 0.375]
[[u'Bhavani M. Thuraisingham', u'Mohammad M. Masud'], 0.375]
[[u'Qi Tian', u'Liang Zheng'], 0.375]
[[u'Tom M. Mitchell', u'Nicholas D. Sidiropoulos'], 0.375]
